id,label,level,parent,status,tier,ldcAmount,rcsaDefects,auditIssues,penaltyCount,healthScore,duration,description,isAIPredicted,contagionProbability,aiExplanation,children
L1-001,平安银行,0,,Alert,Tier 1,5600000,5,3,1,72,2天,,,,,,"L2-001;L2-002"
L1-002,平安产险,0,,Normal,Tier 1,120000,2,1,0,94,30天+,,,,,
L1-003,平安人寿,0,,Warning,Tier 1,450000,8,4,1,82,5天,,,,,
L2-001,运营管理框架,1,L1-001,Alert,Tier 1,1200000,3,2,1,65,2天,,,,,,L3-001
L2-002,财务管理框架,1,L1-001,Warning,Tier 2,0,1,1,0,78,4天,,,,,,L3-002
L3-001,客户服务与运营,2,L2-001,Alert,Tier 1,1200000,3,2,1,60,2天,,,,,,L4-001
L3-002,财务管理,2,L2-002,Warning,Tier 2,0,1,1,0,75,4天,,,,,,L4-002
L4-001,理赔运营管理,3,L3-001,Alert,Tier 1,1200000,3,2,1,55,2天,,,,,,"L5-001;L5-002;L5-004;L5-005"
L4-002,财务核算管理,3,L3-002,Warning,Tier 2,0,1,1,0,73,4天,,,,,,"L5-003;L5-006"
L5-001,理赔资金结算,4,L4-001,Alert,Tier 1,1200000,3,2,1,45,2天,系统重复支付导致资金外溢涉及大额理赔结算异常,,,,该节点为本次风险爆发的核心源头由于前端理赔系统校验逻辑失效导致同一批次理赔指令触发了双次银行转账，目前已触发高额LDC熔断机制,,
L5-002,理赔档案管理,4,L4-001,Normal,Tier 3,0,0,0,0,98,60天,,,,,
L5-003,财务对账流程,4,L4-002,Warning,Tier 2,0,1,1,0,72,4天,对账不平受理赔资金结算异常影响导致财务报表偏离,,,,根据LLM物理拓扑推演下游财务对账系统直接依赖理赔结算结果由于上游数据污染预期对账流程将产生严重阻塞建议立即启动人工核查,,
L5-004,客户反欺诈管理,4,L4-001,Normal,Tier 2,0,0,0,0,95,15天,,true,85,LLM预测受影响路径由于重复支付事件中可能包含黑产恶意套现行为反欺诈系统可能面临识别规则绕过的潜在威胁概率约为85%,,
L5-005,客户回访满意度,4,L4-001,Normal,Tier 3,0,0,0,0,99,100天,,,,,
L5-006,预算执行监控,4,L4-002,Normal,Tier 2,0,0,0,0,92,20天,,,,,
